region_name_policy,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes
Andalusia,Ingreso Mínimo de Solidaridad,1,406.22,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,2,406.22,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,3,458.64,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,4,511.06,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,5,563.48,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,6,615.9,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,7,655.2,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Aragon,Ingreso Aragonés de Inserción,1,472.0,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,2,613.6,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,3,708.0,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,4,802.4,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,5,849.6,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,6,896.8,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Asturias,Salario Social Básico,1,442.96,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,2,540.41,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,3,611.28,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,4,682.14,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,5,713.16,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,6,730.88,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Balearic Islands,Renta Social Garantizada,1,430.36,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,2,430.36,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,3,559.47,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,4,645.54,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,5,688.58,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,6,731.61,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,7,774.65,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Canary Islands,Prestación Canaria de Inserción,1,476.88,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,2,476.88,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,3,539.63,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
